id,name
0900701-001,介壽村
0900701-002,復興村
0900701-003,福沃村
0900701-004,清水村
0900701-005,仁愛村
0900701-006,津沙村
0900701-007,馬祖村
0900701-008,珠螺村
0900701-009,四維村
0900701-S01,黃官嶼1
0900701-S02,黃官嶼2
0900701-S03,黃官嶼3
0900701-S04,黃官嶼4
0900701-S05,黃官嶼5
0900701-S06,黃官嶼6
0900701-S07,黃官嶼7
0900701-S08,黃官嶼8
0900701-S09,黃官嶼9
0900701-S10,黃官嶼10
0900701-S11,黃官嶼11
0900701-S12,黃官嶼12
0900701-S13,黃官嶼13
0900701-S14,黃官嶼14
0900701-S15,鞋礁1
0900701-S16,鞋礁2
0900701-S17,鞋礁3
0900701-S18,鞋礁4
0900701-S19,北泉礁1
0900701-S20,北泉礁2
0900701-S21,劉泉礁1
0900701-S22,劉泉礁2
0900701-S23,劉泉礁3
0900701-S24,劉泉礁4
0900701-S25,劉泉礁5
0900701-S26,劉泉礁6
0900701-S27,劉泉礁7
0900701-S28,劉泉礁8
0900701-S29,劉泉礁9
0900701-S30,劉泉礁10
0900701-S31,劉泉礁11
0900701-S32,劉泉礁12
0900701-S33,劉泉礁13
0900701-S34,劉泉礁14
0900701-S35,劉泉礁15
0900701-S36,劉泉礁16
0900701-S37,劉泉礁17
0900701-S38,劉泉礁18
0900701-S39,劉泉礁19
0900702-001,塘岐村
0900702-002,后沃村
0900702-003,橋仔村
0900702-004,芹壁村
0900702-005,坂里村
0900702-006,白沙村
0900702-S01,進嶼(蛇島)
0900702-S02,鵲石
0900702-S03,蚌山
0900702-S04,螺山1
0900702-S05,螺山2
0900702-S06,螺山3
0900702-S07,螺山4
0900702-S08,三連嶼1
0900702-S09,三連嶼2
0900702-S10,三連嶼3
0900702-S11,無名島
0900702-S12,峭頭
0900702-S13,大坵1
0900702-S14,大坵2
0900702-S15,大坵3
0900702-S16,大坵4
0900702-S17,小坵1
0900702-S18,小坵2
0900702-S19,中島1
0900702-S20,中島2
0900702-S21,中島3
0900702-S22,中島4
0900702-S23,中島5
